bandName,Province,Hectares
West Moberly First Nations,BC,2033.6
Halfway River First Nation,BC,3988.8
Blueberry River First Nations,BC,1505.8
Doig River First Nation,BC,1358.1
Tsleil-Waututh Nation,BC,110.7
Musqueam,BC,273.0
Sechelt,BC,1031.7
Klahoose First Nation,BC,1357.6
Tla'amin Nation,BC,1907.1999999999998
Squamish,BC,2120.0000000000005
N'Quatqua,BC,804.3000000000001
Lil'wat Nation,BC,2694.3
Kwikwetlem First Nation,BC,84.5
Skatin Nations,BC,676.6
Katzie,BC,335.2
Kwantlen First Nation,BC,648.8000000000001
Samahquam,BC,177.3
Skowkale,BC,98.89999999999999
Tsawwassen First Nation,BC,272.6
Leq'á:mel First Nation,BC,271.6
Cheam,BC,523.9000000000001
Shxw'ow'hamel First Nation,BC,305.3
Union Bar First Nation,BC,499.7
Yale First Nation,BC,224.1
Bridge River,BC,5496.599999999999
Xaxli'p,BC,1581.6
T'it'q'et,BC,700.6
Ts'kw'aylaxw First Nation,BC,2130.0
Tsal'alh,BC,1891.6999999999998
Osoyoos,BC,13073.800000000001
Penticton,BC,18636.8
Lower Similkameen,BC,15048.8
Splatsin,BC,3905.2000000000003
Westbank First Nation,BC,2161.3
?Akisq'nuk First Nation,BC,4857.2
Shuswap,BC,1074.0
Lake Babine Nation,BC,3093.899999999999
Takla Nation,BC,809.4000000000001
Kwadacha,BC,385.4
Lheidli T'enneh,BC,675.5
Nadleh Whuten,BC,969.0
Stellat'en First Nation,BC,834.3
Nak'azdli Whut'en,BC,1500.1000000000004
Saik'uz First Nation,BC,3235.7000000000003
Okanagan,BC,10636.800000000001
Tl'azt'en Nation,BC,2014.2000000000005
McLeod Lake,BC,18285.7
Burns Lake,BC,184.6
Cheslatta Carrier Nation,BC,1402.8
Cape Mudge,BC,663.1
K'ómoks First Nation,BC,280.7
Kwikwasut'inuxw Haxwa'mis,BC,179.1
Kwakiutl,BC,502.1
Kwiakah,BC,68.8
Mowachaht/Muchalaht,BC,388.29999999999995
Namgis First Nation,BC,441.99999999999994
Quatsino,BC,402.70000000000005
Ehattesaht,BC,132.9
Da'naxda'xw First Nation,BC,317.9
Dzawada'enuxw First Nation,BC,218.0
Nuchatlaht,BC,92.19999999999999
Beecher Bay,BC,307.69999999999993
Cowichan,BC,2424.600000000001
Ts'uubaa-asatx,BC,42.7
Esquimalt,BC,18.9
Halalt,BC,165.8
Lyackson,BC,744.6
Malahat Nation,BC,24.2
Snuneymuxw First Nation,BC,266.0
Nanoose First Nation,BC,62.6
Penelakut Tribe,BC,635.7
Tsartlip,BC,29.6
Tsawout First Nation,BC,239.9
Tseycum,BC,246.6
Songhees Nation,BC,138.1
T'Sou-ke First Nation,BC,67.2
Pacheedaht First Nation,BC,179.6
Ahousaht,BC,565.5999999999999
Tla-o-qui-aht First Nations,BC,347.79999999999995
Ditidaht,BC,750.7
Huu-ay-aht First Nations,BC,1051.1
Hupacasath First Nation,BC,219.10000000000002
Tseshaht,BC,593.6
Toquaht,BC,194.7
Uchucklesaht,BC,232.7
Ucluelet First Nation,BC,199.3
Old Massett Village Council,BC,970.0
Skidegate,BC,841.8
Nisga'a Village of Gingolx,BC,4879.5
Gitxaala Nation,BC,1885.2000000000003
Metlakatla First Nation,BC,7885.900000000001
Lax Kw'alaams,BC,16353.2
Gitga'at First Nation,BC,882.4
Haisla Nation,BC,574.9
Nisga'a Village of New Aiyansh,BC,2062.0
Nisga'a Village of Laxgalt'sap,BC,621.4
Nisga'a Village of Gitwinksihlkw,BC,644.8
Kitselas,BC,961.6999999999999
Kitsumkalum,BC,704.4
Tahltan,BC,1377.0999999999997
Iskut,BC,161.60000000000002
Adams Lake,BC,2908.7999999999997
Bonaparte,BC,1970.4999999999998
Skeetchestn,BC,8017.9
Tk'emlúps te Secwépemc,BC,187.2
Little Shuswap Lake,BC,3112.7000000000003
Neskonlith,BC,2811.2000000000003
Simpcw First Nation,BC,1500.6999999999998
Coldwater,BC,2500.6
Lower Nicola,BC,16869.7
Nicomen,BC,1175.7000000000003
Upper Nicola,BC,15971.1
Boston Bar First Nation,BC,556.1
Whispering Pines/Clinton,BC,565.2
High Bar,BC,1546.3
Lytton,BC,6005.7
Esk'etemc,BC,3960.100000000001
Canim Lake,BC,2064.9
Xeni Gwet'in First Nations Government,BC,1260.5
Soda Creek,BC,2092.7
Williams Lake,BC,1983.4
Nazko First Nation,BC,1973.1
Lhoosk'uz Dene Nation,BC,1647.5000000000002
Stswecem'c Xgat'tem First Nation,BC,5582.799999999999
Wet'suwet'en First Nation,BC,700.8
Yekooche First Nation,BC,379.7
Binche Whut'en,BC,653.9
